case_name,model_name,case_seed,score_seed,metric_name,q,val,tau,gamma,latency
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-1.5341233318840988,0.9,20.0,50.89679732918739
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-1.536112793196865,0.9,30.0,51.15944566205144
100k-20seg-50L,AccQ,42,2026,CCE,0.1,0.04186213328701362,0.1,1.0,52.422992419451475
100k-20seg-50L,AccQ,42,2026,CCE,0.1,0.043512168154453634,0.1,5.0,50.96984887495637
100k-20seg-50L,AccQ,42,2026,CCE,0.1,0.043944534959868525,0.1,10.0,50.75250566005707
100k-20seg-50L,AccQ,42,2026,CCE,0.1,0.04415430729396708,0.1,20.0,53.71155263856053
100k-20seg-50L,AccQ,42,2026,CCE,0.1,0.04421527923548553,0.1,30.0,50.48247007653117
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-0.33615348549104374,0.3,1.0,51.84127204120159
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-0.34953259277626575,0.3,5.0,50.71550281718373
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-0.3529682086208442,0.3,10.0,51.830898970365524
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-0.35458938981212845,0.3,20.0,50.46636378392577
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-0.3550451034525757,0.3,30.0,55.96404289826751
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-0.714169104269101,0.5,1.0,54.27555600181222
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-0.7425773537069852,0.5,5.0,52.725662011653185
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-0.7498809522015568,0.5,10.0,51.00115481764078
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-0.7533330869182239,0.5,20.0,51.868060138076544
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-0.754305486140637,0.5,30.0,51.09842400997877
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-1.092184723047158,0.7,1.0,51.67758697643876
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-1.1356221146377043,0.7,5.0,51.02739902213216
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-1.1467936957822695,0.7,10.0,51.03702191263437
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-1.1520767840243193,0.7,20.0,50.95721688121557
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-1.1535658688286983,0.7,30.0,51.39402626082301
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-1.4702003418252156,0.9,1.0,51.044472958892584
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-1.5286668755684238,0.9,5.0,51.26255797222257
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-1.5437064393629822,0.9,10.0,51.42157897353172
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-1.550820481130415,0.9,20.0,51.595358178019524
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-1.5528262515167595,0.9,30.0,51.67723400518298
100k-20seg-50L,AccQ,42,2027,CCE,0.1,0.05370514475406278,0.1,1.0,51.38609930872917
100k-20seg-50L,AccQ,42,2027,CCE,0.1,0.055829287310767396,0.1,5.0,50.8772861212492
100k-20seg-50L,AccQ,42,2027,CCE,0.1,0.05638192268957838,0.1,10.0,51.5325297601521
100k-20seg-50L,AccQ,42,2027,CCE,0.1,0.056647465264090334,0.1,20.0,51.242395769804716
100k-20seg-50L,AccQ,42,2027,CCE,0.1,0.05672377184717807,0.1,30.0,50.878397189080715
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-0.32430719240542144,0.3,1.0,50.887071061879396
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-0.3372076362551536,0.3,5.0,50.56773405522108
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-0.340524192506257,0.3,10.0,51.573464181274176
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-0.3420917536236196,0.3,20.0,51.535280887037516
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-0.3425332876174262,0.3,30.0,52.25103022530675
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-0.7023195295649056,0.5,1.0,51.106160040944815
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-0.7302445598210747,0.5,5.0,51.48351099342108
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-0.7374303077020922,0.5,10.0,50.73171574622393
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-0.7408309725113295,0.5,20.0,51.641225814819336
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-0.7417903470820304,0.5,30.0,51.175742875784636
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-1.0803318667243897,0.7,1.0,51.18138762190938
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-1.1232814833869957,0.7,5.0,51.270551048219204
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-1.1343364228979276,0.7,10.0,51.31794232875109
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-1.1395701913990393,0.7,20.0,51.71633418649435
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-1.1410474065466345,0.7,30.0,52.175185177475214
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-1.458344203883874,0.9,1.0,50.80794217064977
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-1.5163184069529168,0.9,5.0,51.40830297023058
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-1.5312425380937627,0.9,10.0,51.13634280860424
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-1.5383094102867494,0.9,20.0,51.31204193457961
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-1.5403044660112388,0.9,30.0,51.02264601737261
100k-20seg-50L,AccQ,42,2025,CCE,0.2,0.22880166613321412,0.1,1.0,51.231027115136385
100k-20seg-50L,AccQ,42,2025,CCE,0.2,0.23788592000676667,0.1,5.0,52.383288741111755
100k-20seg-50L,AccQ,42,2025,CCE,0.2,0.24023058889660276,0.1,10.0,50.93167209997773
100k-20seg-50L,AccQ,42,2025,CCE,0.2,0.24134490043739176,0.1,20.0,51.51386791840196
100k-20seg-50L,AccQ,42,2025,CCE,0.2,0.24166089446078998,0.1,30.0,50.79746758565307
100k-20seg-50L,AccQ,42,2025,CCE,0.2,-0.14920985283078203,0.3,1.0,51.32717825472355
